team_name,avg_plays,avg_watchers,n_matches
1. FC Heidenheim,437.0,325.0,1
1. FC Kaiserslautern,11117.0,9031.0,1
1. FC Union Berlin,3410.0,2837.0,1
A.C. Milan,54679.639344262294,35295.29508196721,61
A.C. Monza,15505.53125,11797.75,32
A.S. Roma,29738.840579710144,20733.391304347828,69
AC Omonia,491.0,383.2307692307692,13
AC Sparta Prague,11359.466666666667,7696.2,15
ACF Fiorentina,16234.840579710144,11788.63768115942,69
AEK Athens,1243.8333333333333,928.0,6
AEK Larnaca,1314.5,1025.125,8
AFC Bournemouth,62393.78787878788,38050.09090909091,66
AFC Wimbledon,1921.25,1432.75,4
APOEL FC,804.2857142857143,576.1428571428571,7
AREMA FC,238742.08571428573,137724.42857142858,35
AS Monaco,25429.315789473683,16261.631578947368,19
AS Roma Women,11533.5,10125.0,4
ASIOP,10852.0,8191.5,2
AVS Futebol SAD,3095.1666666666665,2518.8333333333335,6
AZ Alkmaar,8434.569444444445,6382.5,72
Aberdeen,467.3333333333333,359.3333333333333,6
Accrington Stanley F.C.,74498.0,46134.5,2
Adelaide United FC,5573.333333333333,4909.666666666667,3
Adelaide United Football Club,3951.9473684210525,3306.4736842105262,19
Adhyaksa FC,2365.0,1739.0,2
Adhyaksa Farmel FC,30071.863636363636,17645.954545454544,22
Ajax,16410.027777777777,11893.666666666666,72
Al Fateh SC,5590.7,4968.7,10
Al Hilal SFC,6678.6578947368425,5931.736842105263,38
Al Ittihad,4598.228571428572,4133.857142857143,35
Al Jabalin,8166.0,7385.0,1
Al Khaleej,6749.333333333333,6025.0,6
Al Nassr,11793.771428571428,10326.514285714286,35
Al Qadsiah FC,3780.0,3364.722222222222,18
Al Raed FC,5263.25,4717.625,8
Al Wehda FC,7571.4,6789.6,5
Al-Ahli Saudi FC,4493.130434782609,3968.3478260869565,23
Al-Ettifaq FC,5881.666666666667,5171.555555555556,9
Al-Fayha FC,4444.25,3934.75,4
Al-Kholood Club,9195.57142857143,8102.428571428572,7
Al-Najma,2899.5,2514.5,2
Al-Okhdood Club,4240.888888888889,3821.3333333333335,9
Al-Orobah FC,9226.333333333334,8403.0,6
Al-Riyadh SC,7279.125,6169.25,8
Al-Shabab FC,6729.0,6023.333333333333,12
Al-Taawoun FC,8099.166666666667,7306.5,6
Algeria,9344.222222222223,7363.888888888889,9
Almere,17862.0,13038.533333333333,15
Angola,11502.4,8818.2,5
Antalyaspor,4837.0,3609.0,1
Antwerp,8637.0,6083.0,1
Arema FC,226399.64705882352,126662.58823529411,17
Arema FC Women U17,3399.5,2449.0,2
